match_id,date,season,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result
72214,2024-08-23T18:30:00Z,2024,1,87,Borussia Mönchengladbach,6,Bayer 04 Leverkusen,2,3,2
72215,2024-08-24T13:30:00Z,2024,1,1635,RB Leipzig,129,VfL Bochum,1,0,0
72217,2024-08-24T13:30:00Z,2024,1,175,TSG Hoffenheim,104,Holstein Kiel,3,2,0
72218,2024-08-24T13:30:00Z,2024,1,112,SC Freiburg,16,VfB Stuttgart,3,1,0
72219,2024-08-24T13:30:00Z,2024,1,95,FC Augsburg,134,SV Werder Bremen,2,2,1
72221,2024-08-24T13:30:00Z,2024,1,81,1. FSV Mainz 05,80,1. FC Union Berlin,1,1,1
72216,2024-08-24T16:30:00Z,2024,1,7,Borussia Dortmund,91,Eintracht Frankfurt,2,0,0
72220,2024-08-25T13:30:00Z,2024,1,131,VfL Wolfsburg,40,FC Bayern München,2,3,2
72222,2024-08-25T15:30:00Z,2024,1,98,FC St. Pauli,199,1. FC Heidenheim 1846,0,2,2
72229,2024-08-30T18:30:00Z,2024,2,80,1. FC Union Berlin,98,FC St. Pauli,1,0,0
72224,2024-08-31T13:30:00Z,2024,2,16,VfB Stuttgart,81,1. FSV Mainz 05,3,3,1
72226,2024-08-31T13:30:00Z,2024,2,91,Eintracht Frankfurt,175,TSG Hoffenheim,3,1,0
72228,2024-08-31T13:30:00Z,2024,2,134,SV Werder Bremen,7,Borussia Dortmund,0,0,1
72230,2024-08-31T13:30:00Z,2024,2,129,VfL Bochum,87,Borussia Mönchengladbach,0,2,2
72231,2024-08-31T13:30:00Z,2024,2,104,Holstein Kiel,131,VfL Wolfsburg,0,2,2
72223,2024-08-31T16:30:00Z,2024,2,6,Bayer 04 Leverkusen,1635,RB Leipzig,2,3,2
72227,2024-09-01T13:30:00Z,2024,2,199,1. FC Heidenheim 1846,95,FC Augsburg,4,0,0
72225,2024-09-01T15:30:00Z,2024,2,40,FC Bayern München,112,SC Freiburg,2,0,0
72233,2024-09-13T18:30:00Z,2024,3,7,Borussia Dortmund,199,1. FC Heidenheim 1846,4,2,0
72232,2024-09-14T13:30:00Z,2024,3,1635,RB Leipzig,80,1. FC Union Berlin,0,0,1
72234,2024-09-14T13:30:00Z,2024,3,175,TSG Hoffenheim,6,Bayer 04 Leverkusen,1,4,2
72235,2024-09-14T13:30:00Z,2024,3,112,SC Freiburg,129,VfL Bochum,2,1,0
72237,2024-09-14T13:30:00Z,2024,3,131,VfL Wolfsburg,91,Eintracht Frankfurt,1,2,2
72239,2024-09-14T13:30:00Z,2024,3,87,Borussia Mönchengladbach,16,VfB Stuttgart,1,3,2
72240,2024-09-14T16:30:00Z,2024,3,104,Holstein Kiel,40,FC Bayern München,1,6,2
72236,2024-09-15T13:30:00Z,2024,3,95,FC Augsburg,98,FC St. Pauli,3,1,0
72238,2024-09-15T15:30:00Z,2024,3,81,1. FSV Mainz 05,134,SV Werder Bremen,1,2,2
72246,2024-09-20T18:30:00Z,2024,4,95,FC Augsburg,81,1. FSV Mainz 05,2,3,2
72244,2024-09-21T13:30:00Z,2024,4,199,1. FC Heidenheim 1846,112,SC Freiburg,0,3,2
72245,2024-09-21T13:30:00Z,2024,4,134,SV Werder Bremen,40,FC Bayern München,0,5,2
72247,2024-09-21T13:30:00Z,2024,4,80,1. FC Union Berlin,175,TSG Hoffenheim,2,1,0
72248,2024-09-21T13:30:00Z,2024,4,129,VfL Bochum,104,Holstein Kiel,2,2,1
72243,2024-09-21T16:30:00Z,2024,4,91,Eintracht Frankfurt,87,Borussia Mönchengladbach,2,0,0
72241,2024-09-22T13:30:00Z,2024,4,6,Bayer 04 Leverkusen,131,VfL Wolfsburg,4,3,0
72242,2024-09-22T15:30:00Z,2024,4,16,VfB Stuttgart,7,Borussia Dortmund,5,1,0
72249,2024-09-22T17:30:00Z,2024,4,98,FC St. Pauli,1635,RB Leipzig,0,0,1
72250,2024-09-28T16:30:00Z,2024,5,40,FC Bayern München,6,Bayer 04 Leverkusen,1,1,1
72252,2024-09-27T18:30:00Z,2024,5,7,Borussia Dortmund,129,VfL Bochum,4,2,0
72251,2024-09-28T13:30:00Z,2024,5,1635,RB Leipzig,95,FC Augsburg,4,0,0
72254,2024-09-28T13:30:00Z,2024,5,112,SC Freiburg,98,FC St. Pauli,0,3,2
72255,2024-09-28T13:30:00Z,2024,5,131,VfL Wolfsburg,16,VfB Stuttgart,2,2,1
72256,2024-09-28T13:30:00Z,2024,5,81,1. FSV Mainz 05,199,1. FC Heidenheim 1846,0,2,2
72257,2024-09-28T13:30:00Z,2024,5,87,Borussia Mönchengladbach,80,1. FC Union Berlin,1,0,0
72258,2024-09-29T13:30:00Z,2024,5,104,Holstein Kiel,91,Eintracht Frankfurt,2,4,2
72253,2024-09-29T15:30:00Z,2024,5,175,TSG Hoffenheim,134,SV Werder Bremen,3,4,2
72267,2024-10-05T16:30:00Z,2024,6,98,FC St. Pauli,81,1. FSV Mainz 05,0,3,2
72264,2024-10-04T18:30:00Z,2024,6,95,FC Augsburg,87,Borussia Mönchengladbach,2,1,0
72259,2024-10-05T13:30:00Z,2024,6,6,Bayer 04 Leverkusen,104,Holstein Kiel,2,2,1
72263,2024-10-05T13:30:00Z,2024,6,134,SV Werder Bremen,112,SC Freiburg,0,1,2
72265,2024-10-05T13:30:00Z,2024,6,80,1. FC Union Berlin,7,Borussia Dortmund,2,1,0
72266,2024-10-05T13:30:00Z,2024,6,129,VfL Bochum,131,VfL Wolfsburg,1,3,2
72262,2024-10-06T13:30:00Z,2024,6,199,1. FC Heidenheim 1846,1635,RB Leipzig,0,1,2
72261,2024-10-06T15:30:00Z,2024,6,91,Eintracht Frankfurt,40,FC Bayern München,3,3,1
72260,2024-10-06T17:30:00Z,2024,6,16,VfB Stuttgart,175,TSG Hoffenheim,1,1,1
72270,2024-10-18T18:30:00Z,2024,7,7,Borussia Dortmund,98,FC St. Pauli,2,1,0
72268,2024-10-19T13:30:00Z,2024,7,6,Bayer 04 Leverkusen,91,Eintracht Frankfurt,2,1,0
72271,2024-10-19T13:30:00Z,2024,7,175,TSG Hoffenheim,129,VfL Bochum,3,1,0
72272,2024-10-19T13:30:00Z,2024,7,112,SC Freiburg,95,FC Augsburg,3,1,0
72274,2024-10-19T13:30:00Z,2024,7,81,1. FSV Mainz 05,1635,RB Leipzig,0,2,2
72275,2024-10-19T13:30:00Z,2024,7,87,Borussia Mönchengladbach,199,1. FC Heidenheim 1846,3,2,0
72269,2024-10-19T16:30:00Z,2024,7,40,FC Bayern München,16,VfB Stuttgart,4,0,0
72276,2024-10-20T13:30:00Z,2024,7,104,Holstein Kiel,80,1. FC Union Berlin,0,2,2
72273,2024-10-20T15:30:00Z,2024,7,131,VfL Wolfsburg,134,SV Werder Bremen,2,4,2
72282,2024-10-25T18:30:00Z,2024,8,81,1. FSV Mainz 05,87,Borussia Mönchengladbach,1,1,1
72277,2024-10-26T13:30:00Z,2024,8,16,VfB Stuttgart,104,Holstein Kiel,2,1,0
72278,2024-10-26T13:30:00Z,2024,8,1635,RB Leipzig,112,SC Freiburg,3,1,0
72281,2024-10-26T13:30:00Z,2024,8,95,FC Augsburg,7,Borussia Dortmund,2,1,0
72285,2024-10-26T13:30:00Z,2024,8,98,FC St. Pauli,131,VfL Wolfsburg,0,0,1
72280,2024-10-26T16:30:00Z,2024,8,134,SV Werder Bremen,6,Bayer 04 Leverkusen,2,2,1
72284,2024-10-27T14:30:00Z,2024,8,129,VfL Bochum,40,FC Bayern München,0,5,2
72283,2024-10-27T16:30:00Z,2024,8,80,1. FC Union Berlin,91,Eintracht Frankfurt,1,1,1
72279,2024-10-27T18:30:00Z,2024,8,199,1. FC Heidenheim 1846,175,TSG Hoffenheim,0,0,1
72294,2024-11-02T14:30:00Z,2024,9,104,Holstein Kiel,199,1. FC Heidenheim 1846,1,0,0
72286,2024-11-01T19:30:00Z,2024,9,6,Bayer 04 Leverkusen,16,VfB Stuttgart,0,0,1
72287,2024-11-02T14:30:00Z,2024,9,40,FC Bayern München,80,1. FC Union Berlin,3,0,0
72289,2024-11-02T14:30:00Z,2024,9,91,Eintracht Frankfurt,129,VfL Bochum,7,2,0
72290,2024-11-02T14:30:00Z,2024,9,175,TSG Hoffenheim,98,FC St. Pauli,0,2,2
72292,2024-11-02T14:30:00Z,2024,9,131,VfL Wolfsburg,95,FC Augsburg,1,1,1
72288,2024-11-02T17:30:00Z,2024,9,7,Borussia Dortmund,1635,RB Leipzig,2,1,0
72291,2024-11-03T14:30:00Z,2024,9,112,SC Freiburg,81,1. FSV Mainz 05,0,0,1
72293,2024-11-03T16:30:00Z,2024,9,87,Borussia Mönchengladbach,134,SV Werder Bremen,4,1,0
72301,2024-11-08T19:30:00Z,2024,10,80,1. FC Union Berlin,112,SC Freiburg,0,0,1
72298,2024-11-09T14:30:00Z,2024,10,134,SV Werder Bremen,104,Holstein Kiel,2,1,0
72300,2024-11-09T14:30:00Z,2024,10,81,1. FSV Mainz 05,7,Borussia Dortmund,3,1,0
72302,2024-11-09T14:30:00Z,2024,10,129,VfL Bochum,6,Bayer 04 Leverkusen,1,1,1
72303,2024-11-09T14:30:00Z,2024,10,98,FC St. Pauli,40,FC Bayern München,0,1,2
72296,2024-11-09T17:30:00Z,2024,10,1635,RB Leipzig,87,Borussia Mönchengladbach,0,0,1
72299,2024-11-10T14:30:00Z,2024,10,95,FC Augsburg,175,TSG Hoffenheim,0,0,1
72295,2024-11-10T16:30:00Z,2024,10,16,VfB Stuttgart,91,Eintracht Frankfurt,2,3,2
72297,2024-11-10T18:30:00Z,2024,10,199,1. FC Heidenheim 1846,131,VfL Wolfsburg,1,3,2
72305,2024-11-23T14:30:00Z,2024,11,16,VfB Stuttgart,129,VfL Bochum,2,0,0
72306,2024-11-22T19:30:00Z,2024,11,40,FC Bayern München,95,FC Augsburg,3,0,0
72304,2024-11-23T14:30:00Z,2024,11,6,Bayer 04 Leverkusen,199,1. FC Heidenheim 1846,5,2,0
72307,2024-11-23T14:30:00Z,2024,11,7,Borussia Dortmund,112,SC Freiburg,4,0,0
72309,2024-11-23T14:30:00Z,2024,11,175,TSG Hoffenheim,1635,RB Leipzig,4,3,0
72310,2024-11-23T14:30:00Z,2024,11,131,VfL Wolfsburg,80,1. FC Union Berlin,1,0,0
72308,2024-11-23T17:30:00Z,2024,11,91,Eintracht Frankfurt,134,SV Werder Bremen,1,0,0
72312,2024-11-24T14:30:00Z,2024,11,104,Holstein Kiel,81,1. FSV Mainz 05,0,3,2
72311,2024-11-24T16:30:00Z,2024,11,87,Borussia Mönchengladbach,98,FC St. Pauli,2,0,0
72315,2024-12-01T16:30:00Z,2024,12,199,1. FC Heidenheim 1846,91,Eintracht Frankfurt,0,4,2
72321,2024-11-29T19:30:00Z,2024,12,98,FC St. Pauli,104,Holstein Kiel,3,1,0
72313,2024-11-30T14:30:00Z,2024,12,1635,RB Leipzig,131,VfL Wolfsburg,1,5,2
72316,2024-11-30T14:30:00Z,2024,12,134,SV Werder Bremen,16,VfB Stuttgart,2,2,1
72317,2024-11-30T14:30:00Z,2024,12,112,SC Freiburg,87,Borussia Mönchengladbach,3,1,0
72318,2024-11-30T14:30:00Z,2024,12,95,FC Augsburg,129,VfL Bochum,1,0,0
72320,2024-11-30T14:30:00Z,2024,12,80,1. FC Union Berlin,6,Bayer 04 Leverkusen,1,2,2
72314,2024-11-30T17:30:00Z,2024,12,7,Borussia Dortmund,40,FC Bayern München,1,1,1
72319,2024-12-01T14:30:00Z,2024,12,81,1. FSV Mainz 05,175,TSG Hoffenheim,2,0,0
72323,2024-12-06T19:30:00Z,2024,13,16,VfB Stuttgart,80,1. FC Union Berlin,3,2,0
72322,2024-12-07T14:30:00Z,2024,13,6,Bayer 04 Leverkusen,98,FC St. Pauli,2,1,0
72324,2024-12-07T14:30:00Z,2024,13,40,FC Bayern München,199,1. FC Heidenheim 1846,4,2,0
72325,2024-12-07T14:30:00Z,2024,13,91,Eintracht Frankfurt,95,FC Augsburg,2,2,1
72329,2024-12-07T14:30:00Z,2024,13,129,VfL Bochum,134,SV Werder Bremen,0,1,2
72330,2024-12-07T14:30:00Z,2024,13,104,Holstein Kiel,1635,RB Leipzig,0,2,2
72328,2024-12-07T17:30:00Z,2024,13,87,Borussia Mönchengladbach,7,Borussia Dortmund,1,1,1
72327,2024-12-08T14:30:00Z,2024,13,131,VfL Wolfsburg,81,1. FSV Mainz 05,4,3,0
72326,2024-12-08T16:30:00Z,2024,13,175,TSG Hoffenheim,112,SC Freiburg,1,1,1
72334,2024-12-13T19:30:00Z,2024,14,112,SC Freiburg,131,VfL Wolfsburg,3,2,0
72335,2024-12-14T14:30:00Z,2024,14,95,FC Augsburg,6,Bayer 04 Leverkusen,0,2,2
72336,2024-12-14T14:30:00Z,2024,14,81,1. FSV Mainz 05,40,FC Bayern München,2,1,0
72337,2024-12-14T14:30:00Z,2024,14,87,Borussia Mönchengladbach,104,Holstein Kiel,4,1,0
72338,2024-12-14T14:30:00Z,2024,14,80,1. FC Union Berlin,129,VfL Bochum,0,2,2
72339,2024-12-14T17:30:00Z,2024,14,98,FC St. Pauli,134,SV Werder Bremen,0,2,2
72333,2024-12-15T14:30:00Z,2024,14,199,1. FC Heidenheim 1846,16,VfB Stuttgart,1,3,2
72332,2024-12-15T16:30:00Z,2024,14,7,Borussia Dortmund,175,TSG Hoffenheim,1,1,1
72331,2024-12-15T18:30:00Z,2024,14,1635,RB Leipzig,91,Eintracht Frankfurt,2,1,0
72342,2024-12-20T19:30:00Z,2024,15,40,FC Bayern München,1635,RB Leipzig,5,1,0
72341,2024-12-21T14:30:00Z,2024,15,16,VfB Stuttgart,98,FC St. Pauli,0,1,2
72343,2024-12-21T14:30:00Z,2024,15,91,Eintracht Frankfurt,81,1. FSV Mainz 05,1,3,2
72344,2024-12-21T14:30:00Z,2024,15,175,TSG Hoffenheim,87,Borussia Mönchengladbach,1,2,2
72345,2024-12-21T14:30:00Z,2024,15,134,SV Werder Bremen,80,1. FC Union Berlin,4,1,0
72348,2024-12-21T14:30:00Z,2024,15,104,Holstein Kiel,95,FC Augsburg,5,1,0
72340,2024-12-21T17:30:00Z,2024,15,6,Bayer 04 Leverkusen,112,SC Freiburg,5,1,0
72347,2024-12-22T14:30:00Z,2024,15,129,VfL Bochum,199,1. FC Heidenheim 1846,2,0,0
72346,2024-12-22T16:30:00Z,2024,15,131,VfL Wolfsburg,7,Borussia Dortmund,1,3,2
72350,2025-01-10T19:30:00Z,2024,16,7,Borussia Dortmund,6,Bayer 04 Leverkusen,2,3,2
72351,2025-01-11T14:30:00Z,2024,16,175,TSG Hoffenheim,131,VfL Wolfsburg,0,1,2
72352,2025-01-11T14:30:00Z,2024,16,199,1. FC Heidenheim 1846,80,1. FC Union Berlin,2,0,0
72353,2025-01-11T14:30:00Z,2024,16,112,SC Freiburg,104,Holstein Kiel,3,2,0
72355,2025-01-11T14:30:00Z,2024,16,81,1. FSV Mainz 05,129,VfL Bochum,2,0,0
72357,2025-01-11T14:30:00Z,2024,16,98,FC St. Pauli,91,Eintracht Frankfurt,0,1,2
72356,2025-01-11T17:30:00Z,2024,16,87,Borussia Mönchengladbach,40,FC Bayern München,0,1,2
72349,2025-01-12T14:30:00Z,2024,16,1635,RB Leipzig,134,SV Werder Bremen,4,2,0
72354,2025-01-12T16:30:00Z,2024,16,95,FC Augsburg,16,VfB Stuttgart,0,1,2
72358,2025-01-14T19:30:00Z,2024,17,6,Bayer 04 Leverkusen,81,1. FSV Mainz 05,1,0,0
72366,2025-01-14T17:30:00Z,2024,17,104,Holstein Kiel,7,Borussia Dortmund,4,2,0
72361,2025-01-14T19:30:00Z,2024,17,91,Eintracht Frankfurt,112,SC Freiburg,4,1,0
72363,2025-01-14T19:30:00Z,2024,17,131,VfL Wolfsburg,87,Borussia Mönchengladbach,5,1,0
72365,2025-01-15T17:30:00Z,2024,17,129,VfL Bochum,98,FC St. Pauli,1,0,0
72359,2025-01-15T19:30:00Z,2024,17,16,VfB Stuttgart,1635,RB Leipzig,2,1,0
72360,2025-01-15T19:30:00Z,2024,17,40,FC Bayern München,175,TSG Hoffenheim,5,0,0
72362,2025-01-15T19:30:00Z,2024,17,134,SV Werder Bremen,199,1. FC Heidenheim 1846,3,3,1
72364,2025-01-15T19:30:00Z,2024,17,80,1. FC Union Berlin,95,FC Augsburg,0,2,2
72375,2025-01-18T14:30:00Z,2024,18,104,Holstein Kiel,175,TSG Hoffenheim,1,3,2
72370,2025-01-17T19:30:00Z,2024,18,91,Eintracht Frankfurt,7,Borussia Dortmund,2,0,0
72368,2025-01-18T14:30:00Z,2024,18,16,VfB Stuttgart,112,SC Freiburg,4,0,0
72369,2025-01-18T14:30:00Z,2024,18,40,FC Bayern München,131,VfL Wolfsburg,3,2,0
72371,2025-01-18T14:30:00Z,2024,18,199,1. FC Heidenheim 1846,98,FC St. Pauli,0,2,2
72374,2025-01-18T14:30:00Z,2024,18,129,VfL Bochum,1635,RB Leipzig,3,3,1
72367,2025-01-18T17:30:00Z,2024,18,6,Bayer 04 Leverkusen,87,Borussia Mönchengladbach,3,1,0
72373,2025-01-19T14:30:00Z,2024,18,80,1. FC Union Berlin,81,1. FSV Mainz 05,2,1,0
72372,2025-01-19T16:30:00Z,2024,18,134,SV Werder Bremen,95,FC Augsburg,0,2,2
72381,2025-01-24T19:30:00Z,2024,19,131,VfL Wolfsburg,104,Holstein Kiel,2,2,1
72376,2025-01-25T14:30:00Z,2024,19,1635,RB Leipzig,6,Bayer 04 Leverkusen,2,2,1
72377,2025-01-25T14:30:00Z,2024,19,7,Borussia Dortmund,134,SV Werder Bremen,2,2,1
72379,2025-01-25T14:30:00Z,2024,19,112,SC Freiburg,40,FC Bayern München,1,2,2
72380,2025-01-25T14:30:00Z,2024,19,95,FC Augsburg,199,1. FC Heidenheim 1846,2,1,0
72382,2025-01-25T14:30:00Z,2024,19,81,1. FSV Mainz 05,16,VfB Stuttgart,2,0,0
72383,2025-01-25T17:30:00Z,2024,19,87,Borussia Mönchengladbach,129,VfL Bochum,3,0,0
72378,2025-01-26T14:30:00Z,2024,19,175,TSG Hoffenheim,91,Eintracht Frankfurt,2,2,1
72384,2025-01-26T16:30:00Z,2024,19,98,FC St. Pauli,80,1. FC Union Berlin,3,0,0
72386,2025-02-01T14:30:00Z,2024,20,16,VfB Stuttgart,87,Borussia Mönchengladbach,1,2,2
72390,2025-01-31T19:30:00Z,2024,20,134,SV Werder Bremen,81,1. FSV Mainz 05,1,0,0
72387,2025-02-01T14:30:00Z,2024,20,40,FC Bayern München,104,Holstein Kiel,4,3,0
72389,2025-02-01T14:30:00Z,2024,20,199,1. FC Heidenheim 1846,7,Borussia Dortmund,1,2,2
72392,2025-02-01T14:30:00Z,2024,20,129,VfL Bochum,112,SC Freiburg,0,1,2
72393,2025-02-01T14:30:00Z,2024,20,98,FC St. Pauli,95,FC Augsburg,1,1,1
72391,2025-02-01T17:30:00Z,2024,20,80,1. FC Union Berlin,1635,RB Leipzig,0,0,1
72388,2025-02-02T14:30:00Z,2024,20,91,Eintracht Frankfurt,131,VfL Wolfsburg,1,1,1
72385,2025-02-02T16:30:00Z,2024,20,6,Bayer 04 Leverkusen,175,TSG Hoffenheim,3,1,0
72394,2025-02-07T19:30:00Z,2024,21,40,FC Bayern München,134,SV Werder Bremen,3,0,0
72396,2025-02-08T14:30:00Z,2024,21,7,Borussia Dortmund,16,VfB Stuttgart,1,2,2
72397,2025-02-08T14:30:00Z,2024,21,175,TSG Hoffenheim,80,1. FC Union Berlin,0,4,2
72398,2025-02-08T14:30:00Z,2024,21,112,SC Freiburg,199,1. FC Heidenheim 1846,1,0,0
72399,2025-02-08T14:30:00Z,2024,21,131,VfL Wolfsburg,6,Bayer 04 Leverkusen,0,0,1
72400,2025-02-08T14:30:00Z,2024,21,81,1. FSV Mainz 05,95,FC Augsburg,0,0,1
72401,2025-02-08T17:30:00Z,2024,21,87,Borussia Mönchengladbach,91,Eintracht Frankfurt,1,1,1
72402,2025-02-09T14:30:00Z,2024,21,104,Holstein Kiel,129,VfL Bochum,2,2,1
72395,2025-02-09T16:30:00Z,2024,21,1635,RB Leipzig,98,FC St. Pauli,2,0,0
72411,2025-02-15T14:30:00Z,2024,22,98,FC St. Pauli,112,SC Freiburg,0,1,2
72408,2025-02-14T19:30:00Z,2024,22,95,FC Augsburg,1635,RB Leipzig,0,0,1
72404,2025-02-15T14:30:00Z,2024,22,16,VfB Stuttgart,131,VfL Wolfsburg,1,2,2
72409,2025-02-15T14:30:00Z,2024,22,80,1. FC Union Berlin,87,Borussia Mönchengladbach,1,2,2
72410,2025-02-15T14:30:00Z,2024,22,129,VfL Bochum,7,Borussia Dortmund,2,0,0
72403,2025-02-15T17:30:00Z,2024,22,6,Bayer 04 Leverkusen,40,FC Bayern München,0,0,1
72407,2025-02-16T14:30:00Z,2024,22,134,SV Werder Bremen,175,TSG Hoffenheim,1,3,2
72405,2025-02-16T16:30:00Z,2024,22,91,Eintracht Frankfurt,104,Holstein Kiel,3,1,0
72406,2025-02-16T18:30:00Z,2024,22,199,1. FC Heidenheim 1846,81,1. FSV Mainz 05,0,2,2
72420,2025-02-22T14:30:00Z,2024,23,104,Holstein Kiel,6,Bayer 04 Leverkusen,0,2,2
72416,2025-02-21T19:30:00Z,2024,23,112,SC Freiburg,134,SV Werder Bremen,5,0,0
72417,2025-02-22T14:30:00Z,2024,23,131,VfL Wolfsburg,129,VfL Bochum,1,1,1
72418,2025-02-22T14:30:00Z,2024,23,81,1. FSV Mainz 05,98,FC St. Pauli,2,0,0
72419,2025-02-22T14:30:00Z,2024,23,87,Borussia Mönchengladbach,95,FC Augsburg,0,3,2
72414,2025-02-22T17:30:00Z,2024,23,7,Borussia Dortmund,80,1. FC Union Berlin,6,0,0
72413,2025-02-23T14:30:00Z,2024,23,1635,RB Leipzig,199,1. FC Heidenheim 1846,2,2,1
72412,2025-02-23T16:30:00Z,2024,23,40,FC Bayern München,91,Eintracht Frankfurt,4,0,0
72415,2025-02-23T18:30:00Z,2024,23,175,TSG Hoffenheim,16,VfB Stuttgart,1,1,1
72421,2025-02-28T19:30:00Z,2024,24,16,VfB Stuttgart,40,FC Bayern München,1,3,2
72422,2025-03-01T14:30:00Z,2024,24,1635,RB Leipzig,81,1. FSV Mainz 05,1,2,2
72424,2025-03-01T14:30:00Z,2024,24,199,1. FC Heidenheim 1846,87,Borussia Mönchengladbach,0,3,2
72425,2025-03-01T14:30:00Z,2024,24,134,SV Werder Bremen,131,VfL Wolfsburg,1,2,2
72428,2025-03-01T14:30:00Z,2024,24,129,VfL Bochum,175,TSG Hoffenheim,0,1,2
72429,2025-03-01T14:30:00Z,2024,24,98,FC St. Pauli,7,Borussia Dortmund,0,2,2
72423,2025-03-01T17:30:00Z,2024,24,91,Eintracht Frankfurt,6,Bayer 04 Leverkusen,1,4,2
72427,2025-03-02T14:30:00Z,2024,24,80,1. FC Union Berlin,104,Holstein Kiel,0,1,2
